0:0:0:0:0:0:0:1 - - [13/May/2025:10:24:29 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 500 4985
0:0:0:0:0:0:0:1 - - [13/May/2025:10:26:43 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:10:26:44 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 500 4985
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:04 +0900] "GET /movmov/index.jsp HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:07 +0900] "GET /movmov/pages/shop/shop-main.jsp HTTP/1.1" 200 13853
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:07 +0900] "GET /movmov/resources/images/shop/%EB%8D%94%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%EC%A0%84%EC%9A%A9%EA%B4%80%EB%9E%8C%EA%B6%8C.png HTTP/1.1" 200 12791
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:07 +0900] "GET /movmov/resources/images/shop/%EC%B9%A0%EB%A6%AC%EC%B9%98%EC%A6%88%EB%82%98%EC%B5%B8.jpg HTTP/1.1" 200 43087
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:07 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EC%8B%9C%EC%A6%8C3%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:07 +0900] "GET /movmov/resources/images/shop/%EB%A9%94%EA%B0%80%EB%B0%95%EC%8A%A4%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%ED%8B%B0%EC%BC%93%EB%B6%81%20%EB%B9%84%EB%8B%90%EC%86%8D%EC%A7%80%20%EB%8B%A8%ED%92%88.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:09 +0900] "GET /movmov/pages/shop/shop-detail.jsp?no=14 HTTP/1.1" 200 9968
0:0:0:0:0:0:0:1 - - [13/May/2025:10:27:11 +0900] "GET /movmov/pages/shop/shop-cart-insert.jsp?ino=14&qty=4&option=0 HTTP/1.1" 302 -
